journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Хьюз Лэнгстон,Право и здравый смысл,1958,12,Langston Hughes,Reason and Right,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Похороны Джи­ма Кроу,1958,12,Langston Hughes,Jim Crow’s Funeral,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Неделя белой истории,1958,12,Langston Hughes,Four-Way Celebrations,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Цвет кожи у них на уме,1958,12,Langston Hughes,Color on the Brain,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Лицо и раса,1958,12,Langston Hughes,Face and Race,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Скетч для телевидения,1958,12,Langston Hughes,Sketch for TV,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Двух сторон мало,1958,12,Langston Hughes,Two Sides Not Enough,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,При чем тут сочувствие,1958,12,Langston Hughes,Duty Is Not Snooty,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,"Косточки, бомбы, куриные горлышки",1958,12,Langston Hughes,"Bones, Bombs, Chicken Necks",,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,Помирать так с музыкой,1958,12,Langston Hughes,Bang-up Big End,,,,1950s,Khrushchev
IL,,,Хэммет Дэшил,106 Тысяч за Голову,1988,7,Dashiell Hammett,"$106,000 Blood Money",1927,,,1980s,Gorbachev
IL,,,Хэммет Дэшил,Большой Налет,1988,7,Dashiell Hammett,The Big Knockover,1948,,,1980s,Gorbachev
IL,,,Хэнсберри Лорейн,Изюминка на солнце: Драма в 3-х актах,1959,11,Lorraine Hansberry,A Raisin in the Sun,1959,,,1950s,Khrushchev
